Date,Open,High,Low,Close,Adj Close,Volume
12/13/2021,148.444,148.5625,146.360001,146.704498,146.704498,24104000
12/14/2021,144.770004,145.442001,142.242493,144.970505,144.970505,24778000
12/15/2021,144.365997,147.517242,142.705505,147.3685,147.3685,27280000
12/16/2021,148.076996,148.551498,144.092499,144.838501,144.838501,27400000
12/17/2021,142.714493,144.460098,141.787994,142.802994,142.802994,43404000
12/20/2021,140.679596,142.610504,140.25,142.401505,142.401505,20264000
12/21/2021,143.149994,144.692047,141.735001,144.220505,144.220505,19548000
12/22/2021,144.100006,147.302994,143.962997,146.949005,146.949005,18438000
12/23/2021,147.089493,148.572601,146.950851,147.142502,147.142502,13818000
12/27/2021,147.463501,148.426498,147.25,148.063995,148.063995,13256000
12/28/2021,148.374496,148.374496,145.935501,146.447998,146.447998,18624000
12/29/2021,146.429504,147.183746,145.504501,146.504501,146.504501,17022000
12/30/2021,146.449997,147.0625,145.758499,146.002502,146.002502,12978000
12/31/2021,145.544006,146.365005,144.677505,144.679504,144.679504,17298000
1/3/2022,144.475494,145.550003,143.502502,145.074493,145.074493,25214000
1/4/2022,145.550507,146.610001,143.816147,144.416504,144.416504,22928000
1/5/2022,144.181,144.298004,137.523499,137.653503,137.653503,49642000
1/6/2022,137.497498,139.686005,136.763504,137.550995,137.550995,29050000
1/7/2022,137.904999,138.254745,135.789001,137.004501,137.004501,19408000
1/10/2022,135.098999,138.639999,133.140503,138.574005,138.574005,34096000
1/11/2022,138.180496,140.329498,136.813507,140.017502,140.017502,23502000
1/12/2022,141.554504,142.814255,141.112,141.647995,141.647995,23642000
1/13/2022,141.8405,143.185501,138.914001,139.130997,139.130997,26566000
1/14/2022,137.5,141.2005,137.5,139.786499,139.786499,23826000
1/18/2022,136.600006,137.391495,135.617004,136.290497,136.290497,27382000
1/19/2022,136.938507,138.399506,135.5,135.651993,135.651993,20796000
1/20/2022,136.514008,137.912003,133.144501,133.5065,133.5065,21930000
1/21/2022,133.011993,134.760498,130.001007,130.091995,130.091995,41920000
1/24/2022,126.027496,130.778503,124.641953,130.371994,130.371994,55148000
1/25/2022,128.435501,129.338501,126.377998,126.735497,126.735497,36008000
1/26/2022,130.592499,132.807495,127.153503,129.240005,129.240005,39630000
1/27/2022,131.360992,132.609955,128.945007,129.121002,129.121002,30248000
1/28/2022,130,133.370499,128.694504,133.289505,133.289505,30518000
1/31/2022,134.197998,135.843506,132.274002,135.698502,135.698502,34056000
2/1/2022,137.835007,138.199997,134.568253,137.878494,137.878494,51204000
2/2/2022,151.863495,152.100006,145.557495,148.036499,148.036499,89750000
2/3/2022,145.294998,149.117706,142.205002,142.650497,142.650497,56930000
2/4/2022,143.016998,144.535248,139.817505,143.016006,143.016006,49224000
2/7/2022,143.709,143.846497,138.699005,138.938004,138.938004,44610000
2/8/2022,138.991257,139.837097,136.873001,139.212997,139.212997,34256000
2/9/2022,140.849747,142.175507,140.376999,141.453003,141.453003,28628000
2/10/2022,139.5,141.431,138.050003,138.602493,138.602493,33018000
2/11/2022,138.75,139.283249,133.288498,134.130005,134.130005,38808000
2/14/2022,133.365494,136.166504,133.302002,135.300003,135.300003,26792000
2/15/2022,137.471497,137.899994,135.539505,136.425507,136.425507,26578000
2/16/2022,136.430496,137.945999,134.823654,137.487503,137.487503,25610000
2/17/2022,136.149994,136.839493,132.201996,132.308502,132.308502,30968000
2/18/2022,133.037506,133.824005,130.307053,130.467499,130.467499,31858000
2/22/2022,129.985001,131.900757,127.740997,129.402496,129.402496,38906000
2/23/2022,131.078506,131.748993,127.503502,127.584999,127.584999,26432000
2/24/2022,125,133.037003,124.764503,132.673492,132.673492,43166000
2/25/2022,133.525497,135.389008,131.764999,134.519501,134.519501,26236000
